NAME,DISPLAY (inch),STORAGE (gb),MEMORY (gb),CPU (cores),GPU (cores),NEURAL ENGINE (cores),WEIGHT (gm),MAIN CAMERA (mp),FRONT CAMERA (mp),number of camera (back),Sum of megapixels,BATTERY (mAh),CO2E
iPhone SE - Gen 2,4.7,64,3,6,4,8,148,12,7,1,19,1821,57
iPhone SE - Gen 2 ,4.7,128,3,6,4,8,148,12,7,1,19,1821,62
iPhone SE - Gen 2,4.7,256,3,6,4,8,148,12,7,1,19,1821,73
iPhone SE - Gen 3,4.7,64,4,6,4,16,144,12,7,1,19,2018,46
iPhone SE - Gen 3,4.7,128,4,6,4,16,144,12,7,1,19,2018,50
iPhone SE - Gen 3,4.7,256,4,6,4,16,144,12,7,1,19,2018,58
iPhone 8,4.7,64,2,6,3,2,148,12,7,1,19,1821,57
iPhone 8,4.7,256,2,6,3,2,148,12,7,1,19,1821,71
iPhone 11,6.1,64,4,6,4,8,194,12,12,2,36,3110,72
iPhone 11,6.1,128,4,6,4,8,194,12,12,2,36,3110,77
iPhone 11,6.1,256,4,6,4,8,194,12,12,2,36,3110,89
iPhone 11 pro,5.8,64,4,6,4,8,188,12,12,3,48,3046,80
iPhone 11 pro,5.8,256,4,6,4,8,188,12,12,3,48,3046,96
iPhone 11 pro,5.8,512,4,6,4,8,188,12,12,3,48,3046,110
iPhone 12,6.1,64,4,6,4,16,164,12,12,2,36,2815,70
iPhone 12 ,6.1,128,4,6,4,16,164,12,12,2,36,2815,75
iPhone 12 ,6.1,256,4,6,4,16,164,12,12,2,36,2815,85
iPhone 13,6.1,128,4,6,4,16,174,12,12,2,36,3240,64
iPhone 13 mini,5.4,128,4,6,4,16,141,12,12,2,36,2438,61
iPhone 13 Pro,6.1,128,6,6,5,16,204,12,12,3,48,3095,69
iPhone 13 Pro,6.1,256,6,6,5,16,204,12,12,3,48,3095,76
iPhone 13 Pro,6.1,512,6,6,5,16,204,12,12,3,48,3095,88
iPhone 13 Pro,6.1,1024,6,6,5,16,204,12,12,3,48,3095,112
iPhone 13 Pro Max,6.7,128,6,6,5,16,240,12,12,3,48,4352,74
iPhone 13 Pro Max,6.7,256,6,6,5,16,240,12,12,3,48,4352,81
iPhone 13 Pro Max,6.7,512,6,6,5,16,240,12,12,3,48,4352,93
iPhone 13 Pro Max,6.7,1024,6,6,5,16,240,12,12,3,48,4352,117
iPhone 14,6.1,128,6,6,5,16,172,12,12,2,36,3279,61
iPhone 14,6.1,256,6,6,5,16,172,12,12,2,36,3279,67
iPhone 14,6.1,512,6,6,5,16,172,12,12,2,36,3279,83
iPhone 14 Plus,6.7,128,6,6,5,16,203,12,12,2,36,4323,68
iPhone 14 Plus,6.7,256,6,6,5,16,203,12,12,2,36,4323,75
iPhone 14 Plus,6.7,512,6,6,5,16,203,12,12,2,36,4323,91
iPhone 14 Pro,6.1,128,6,6,5,16,206,48,12,3,84,3200,65
iPhone 14 Pro Max,6.7,128,6,6,5,16,240,48,12,3,84,4323,73
iPhone 15,6.1,128,6,6,5,16,171,48,12,2,72,3349,56
iPhone 15,6.1,256,6,6,5,16,171,48,12,2,72,3349,66
iPhone 15,6.1,512,6,6,5,16,171,48,12,2,72,3349,79
iPhone 15 Plus,6.7,128,6,6,5,16,201,48,12,2,72,4383,61
iPhone 15 Plus,6.7,256,6,6,5,16,201,48,12,2,72,4383,66
iPhone 15 Plus,6.7,512,6,6,5,16,201,48,12,2,72,4383,79
iPhone 15 Pro,6.1,128,8,6,6,16,187,48,12,3,84,3274,66
iPhone 15 Pro,6.1,256,8,6,6,16,187,48,12,3,84,3274,71
iPhone 15 Pro,6.1,512,8,6,6,16,187,48,12,3,84,3274,83
iPhone 15 Pro,6.1,1024,8,6,6,16,187,48,12,3,84,3274,107
iPhone 15 Pro Max,6.7,256,8,6,6,16,221,48,12,3,84,4441,75
iPhone 15 Pro Max,6.7,512,8,6,6,16,221,48,12,3,84,4441,87
iPhone 15 Pro Max,6.7,1024,8,6,6,16,221,48,12,3,84,4441,110